Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
"Certificate III","ACCESS Distance Learning and Tutorial College","Certificate Early Childhood Development - Reception Year",,"Any date before 1 January 2012",Queensland,"South Africa","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Acknowledge Education Pty Ltd","Graduate Diploma of Early Childhood Education",,"Any date if enrolled prior to November 2029",National,Australia,"ACECQA assessed and approved this qualification on 9 October 2024."
ECT,"Adelaide Kindergarten Teachers' College","Diploma in Teaching (Infant)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Adelaide Kindergarten Teachers' College","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Adelaide Kindergarten Teachers' College","Diploma of the Adelaide Kindergarten Teachers' College",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Adelaide University","Bachelor of Teaching (Early Childhood Education)",BTECE,"Any date if enrolled prior to November 2030",National,Australia,"ACECQA assessed and approved this qualification on 18 November 2025."
ECT,"Adelaide University","Master of Teaching (Early Childhood Education)",MATEC,"Any date if enrolled prior to March 2031",National,Australia,"ACECQA assessed and approved this qualification on 20 March 2026."
Diploma,"Akikusa Gakuen Junior College","Certificate of Day Care Teacher (1996)",,"Any date before 1 January 2012",Queensland,Japan,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Algemene Hogeschool Amsterdam","Diploma Meddelbaar Beroepsonderwijs - Kultureel Werk and Certificaat Deeltijd Middelbare Beroepsopleiding",,"Any date before 1 January 2012",Queensland,Netherlands,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Alice Springs (Centralian) Institute of TAFE","Associate Diploma of Education (Child Care Studies)",,"Any date before 1 January 2012",National,Australia,"Alice Springs (Centralian) Institute of Technical and Further Education was formerly known by a different name: Alice Springs Community College"
Diploma,"Alice Springs (Centralian) Institute of TAFE","Certificate in Child Care Studies",,"Any date before 1 January 2017",National,Australia,"Alice Springs (Centralian) Institute of Technical and Further Education was formerly known by a different name: Alice Springs Community College"
Diploma,"Alice Springs (Centralian) Institute of TAFE","Diploma of Education (Child Care)",,"Any date before 1 January 2017",National,Australia,"Alice Springs (Centralian) Institute of Technical and Further Education was formerly known by a different name: Alice Springs Community College"
"Certificate III","All Women's Educational Training Society","Certificate in Pre-Primary Teacher Education (Nursery Teachers' Training)",,"Any date before 1 January 2012",Queensland,India,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Alphacrucis University College","Associate Degree in Education Studies (Early Childhood)",ADE,"Any date if enrolled prior to February 2028",National,Australia,"ACECQA assessed and approved this qualification on 31 January 2023.Alphacrucis University College is also known as Alphacrucis College."
ECT,"Alphacrucis University College","Bachelor of Education (Early Childhood and Primary)",BEC,"Any date if enrolled prior to December 2027",National,Australia,"ACECQA assessed and approved this qualification on 21 November 2022.Alphacrucis University College is also known as Alphacrucis College."
ECT,"Alphacrucis University College","Graduate Diploma of Early Childhood Education",GEC,"Any date if enrolled prior to January 2030",National,Australia,"ACECQA assessed and approved this qualification on 19 December 2024.Alphacrucis University College is also known as Alphacrucis College."
ECT,"Alphacrucis University College","Bachelor of Early Childhood Education (Birth to 5)",BEE,"Any date if enrolled prior to November 2030",National,Australia,"ACECQA assessed and approved this qualification on 3 November 2025.Alphacrucis University College is also known as Alphacrucis College."
"Certificate III","Anne Frank School, Vocational School for Social and Public Health","Final Completion Certificate with professional title of 'State verified child minder and nurse'",,"Any date before 1 January 2012",Queensland,Germany,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Community Services (Child Care)",,"Any date before 1 January 2017",National,Australia,"Also known as 'Diploma in Community Services (Child Care)'. "
Diploma,"Any Australian registered training organisation or accredited higher education provider","Associate Diploma of Education (Child Care)",CND35,"Any date before 1 January 2012",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Associate Diploma of Social Science (Child Care)",,"Any date before 1 January 2012",National,Australia,"Also known as 'Associate Diploma in Social Science (Child Care)', 'Associate Diploma Social Science Child Care' and 'Associate Diploma in Social Science in Child Care'. "
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Child Care and Education",,"Any date before 1 January 2017",National,Australia,"Also known as 'Diploma in Child Care and Education'. "
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Children's Services","CHC50302, 10556ACT","Any date before 1 January 2017",National,Australia,"Known codes for this qualification, but not limited to, include CHC50302 and 10556ACT. Also known as 'Diploma in Children's Services (Centre-based Care)', 'Diploma of Children's Services (0 - 5 Years)'."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Children's Services (Early Childhood Education and Care)",CHC50908,"Any date before 1 January 2017",National,Australia,"Known codes for this qualification, but not limited to, include CHC50908."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Advanced Certificate in Child Care",,"Any date before 1 January 2012",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Advanced Certificate in Child Care (Stream 3300)",,"Any date before 1 January 2012",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Advanced Certificate in Child Care Studies",,"Any date before 1 January 2012",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Advanced Diploma of Children's Services","CHC60208, CHC60202","Any date before 1 January 2017",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Advanced Diploma of Community Services (Children's Services)",,"Any date before 1 January 2012",National,Australia,"Known codes for this qualification, but not limited to, include CHC60399"
Diploma,"Any Australian registered training organisation or accredited higher education provider","Advanced Diploma of Community Services (Children's Services)(Centre Based Pathway)",,"Any date before 1 January 2012",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Associate Diploma of Social Science (Child Care Services)",,"Any date before 1 January 2012",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Associate Diploma of Social Science (Child Care Studies)",,"Any date before 1 January 2012",National,Australia,"Also known as 'Associate Diploma in Social Science (Child Care Studies)'"
Diploma,"Any Australian registered training organisation or accredited higher education provider","Associate Diploma of Social Science (Child Studies)",,"Any date before 1 January 2012",National,Australia,"Also known as 'Associate Diploma in Social Science (Child Studies)'"
"First Aid, Asthma and Anaphylaxis","Any Australian registered training organisation or accredited higher education provider","Apply advanced first aid","HLTFA402B / HLTFA402C / HLTFA412A","Any date before 30 June 2013",National,Australia,"This course is no longer current. HLTFA412A was superseded by HLTAID006 on June 2013."
"First Aid only","Any Australian registered training organisation or accredited higher education provider","Apply first aid","HLTFA311A / HLTFA301C / HLTFA301B","Any date before 30 June 2013",National,Australia,"This course is no longer current. The unit was superseded by HLTAID003 on 30 June 2013."
"Anaphylaxis Management only","Any Australian registered training organisation or accredited higher education provider","Course in Anaphylaxis Awareness","10313NAT / 21827VIC","Any date",National,Australia,"ACECQA assessed and approved this program on 17 December 2012. This qualification only satisfies the requirements for anaphylaxis management training. As stated on www.training.gov.au, currency period ended on 31 October 2012."
"Anaphylaxis Management only","Any Australian registered training organisation or accredited higher education provider","Course in Anaphylaxis Management",30728QLD,"Any date before 13 March 2013",National,Australia,"This qualification is no longer current."
"Emergency Asthma only","Any Australian registered training organisation or accredited higher education provider","Course in Asthma Education and Management",30646QLD,"Any date before 21 December 2011",National,Australia,"This course is no longer current."
"Emergency Asthma and Anaphylaxis","Any Australian registered training organisation or accredited higher education provider","Course in Emergency Asthma and Anaphylaxis Management",80969ACT,"Any date before 25 July 2015",National,Australia,"This course is no longer current."
"Emergency Asthma only","Any Australian registered training organisation or accredited higher education provider","Course in Emergency Asthma Management","21886VIC / 10392NAT","Any date",National,Australia,"ACECQA assessed and approved this program on 23 October 2013. "
"Emergency Asthma only","Any Australian registered training organisation or accredited higher education provider","Course in Emergency Management of Asthma in the Workplace",22024VIC,"Any date before 31 December 2014",National,Australia,"This course is no longer current."
"First Aid, Asthma and Anaphylaxis","Any Australian registered training organisation or accredited higher education provider","Provide an emergency first aid response in an education and care setting",HLTAID004,"Any date",National,Australia,"HLTAID004 was superseded by HLTAID012 on 15 October 2020."
"First Aid only","Any Australian registered training organisation or accredited higher education provider","Provide first aid in remote situation","HLTFA302C / HLTFA302B / HLTFA302A","Any date before 30 June 2013",National,Australia,"This course is no longer current. The unit was superseded by HLTAID005 on 30 June 2013."
"Anaphylaxis Management only","Any Australian registered training organisation or accredited higher education provider","Vocational Graduate Certificate in Anaphylaxis Management Training",21830VIC,"Any date before 30 October 2012",National,Australia,"This qualification is no longer current."
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Children's Services Traineeship",,"Any date before 1 January 2012",National,Australia,"Known codes for this qualification, but not limited to, include 10547."
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Child Studies",,"Any date before 1 January 2012",National,Australia,"Includes Centre Based Care and Home Based Care specialisations. Also known as Certificate in Child Studies (Home Care) or Certificate in Child Studies Centre Based Care. Typically offered through Technical Colleges and Technical and Further Education (TAFE) Colleges."
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Children's Services","CHC30708, CHC30712","Any date before 1 January 2017",National,Australia,"CHC30708 is superseded by CHC30712, which in turn is superseded by CHC30113"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Children's Services",CHC30402,"Any date before 1 January 2012",National,Australia,"CHC30402 is superseded by CHC30708"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Children's Services (Centre-based Care)",,"Any date before 1 January 2012",National,Australia,"Known codes for this qualification, but not limited to, include 10553ACT"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Children's Services (Family Day Care)",,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Children's Services (Teacher Assistant)","7896, 6978","Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Community Services Work","CHC30108, CHC30802","Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Community Services (Children's Services)",,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Early Childhood Education and Care",CHC30113,"Any date prior to 21 January 2023",National,Australia,"CHC30113 is superseded by CHC30121 Certificate III in Early Childhood Education and Care."
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Education (Teacher Aide)",,"Any date before 1 January 2012",National,Australia,"Known codes for this qualification, but not limited to, include 69906 and 69953"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Education (Teacher Aide/Assistant)",69827,"Any date before 1 January 2017",National,Australia,"As stated on www.training.gov.au, currency period ended on 26 August 2012"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Education Support","CHC30808, CHC30812","Any date before 1 January 2017",National,Australia,"CHC30808 is superseded by CHC30812, which in turn is superseded by CHC30213"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Education Support",CHC30213,"Any date before 21 January 2023",National,Australia,"This qualification is most suitable for use in early childhood education and care settings that are delivered on school sites (e.g. pre-school/kindergartens).

CHC30213 is superseded by CHC30221. CHC30221 (Certificate III in School Based Education Support) has not been added to the NQF approved qualifications list. "
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Children's Services (Centre-based Care)",,"Any date before 1 January 2017",National,Australia,"Also known as 'Diploma in Children's Services (Centre-based Care)'. "
